Lobbyist_ID,Firstname,Middlename,Lastname,Suffix,Branch,Employer
297,LARRY,S,BANKSTON,,Legislative and Executive,"Bankston & Associates, L.L.C."
102,JAMES,W,BANTHAM,,Legislative and Executive,Citigroup Management Corp.
924,DANIEL,,BARBERA,,Executive,"Lilly USA, LLC"
355,HAMPTON,SUTPHIN,BARCLAY,,Not currently registered,Home Builders Association of Greater New Orleans
1534,JONATHAN,DANIEL,BARGANIER,,Legislative,Eli Lilly and Company
465,AL,,BARGAS,,Not currently registered,"Associated Builders and Contractors, Inc."
722,REBECCA,,BARHAM,,Not currently registered,Southern Strategy Group - NLA
1981,JONATHAN,DAVID,BARNES,,Executive,"NEPC, LLC"
16,JOHN,GARY,BARRETT,,Legislative and Executive,Bayer Corporation
607,JOHN,,BARRY,,Not currently registered,Velvet Pines Developers
615,YVONNE,G,BARTON,,Not currently registered,"Abbott Laboratories, Inc."
73,ARWIN,PATRICK,BASCLE,,Legislative and Executive,"Arwin P. Bascle, L.L.C."
1882,JOHN,,BASILICA,,Legislative and Executive and Local,HNTB Corporation
928,STACY,H,BASSETT,,Legislative and Executive,The College Board
1583,KRISTIN,,BATULIS,,Executive,"Entergy Services, LLC"
1124,FRANCES,SURIA,BAUMAN,,Executive,"Novo Nordisk, Inc."
111,ROBERT,H,BAUMANN,,Legislative,Self
1916,WESTLEY,,BAYAS,III,Local,"Stand For Children, Inc"
688,SLATER,W,BAYLISS,,Not currently registered,The Advocacy Group at Cardenas Partners
1065,J,BARRY,BEASLEY,,Legislative and Executive,"Air Products and Chemicals, Inc"
885,JON,,BEATY,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
437,MARK,W,BECKSTROM,,Legislative and Executive,Ochsner Clinic Foundation
922,SHEILA,,BEDI,,Not currently registered,"Southern Poverty Law Center, Inc."
314,PATRICK,,BELL,,Not currently registered,Capital One Financial Corporation (and subsidiaries)
1188,MATTHEW,,BELLI,,Not currently registered,CA Technologies
330,CHARLES,W,BELLON,,Not currently registered,"PPG Industries, Inc."
301,EMORY,A,BELTON,JR,Legislative and Executive and Local,Self
957,GARY,K,BENNETT,,Legislative and Executive,Louisiana Sheriffs' Association
565,VANN,,BENNETT,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
199,HARRY,LEE,BENOIT,,Legislative and Executive,self
1429,JAMES,LAWRENCE,BERENS,,Executive,Pacific Alternative Asset Management Company
1479,ERIC,STEVEN,BERGER,,Legislative and Executive,The Gray Insurance Group
991,MARK,DANIEL,BERGER,,Legislative and Executive,Louisiana Nursing Home Association
1333,JASON,,BERGERON,,Legislative and Executive,Exxon Mobil Corporation
743,JOSEPH,ROGER,BERGERON,,Not currently registered,Louisiana Association of Tax Administrators
667,MARY,,BERGERON,,Not currently registered,"Merck, Sharp and Dohme Corp. and its Affiliates"
799,ERIC,,BERND,,Not currently registered,"International Business Machines Corporation (""IBM"")"
488,KAREN,,BERRIGAN,,Not currently registered,Warner Chilcott
444,JOE,G,BERRY,,Legislative and Executive,Government Related Services of La.INC
435,JOHNNIE,LYNN,BERRY,,Not currently registered,Self
480,GRANT,,BIRDWELL,,Not currently registered,"Morgan Stanley Investment Management, Inc."
675,STACY,,BIRDWELL,,Legislative,Professional Fire Fighters Association of Louisiana
1079,STEVE,RICHARD,BIRTMAN,,Legislative and Executive,Humana
277,CINDY,GAYLE,BISHOP,,Legislative,Checkmate Strategies
486,CJ,,BLACHE,,Legislative and Executive,Roedel Parsons Koch Blache Balhoff & McCollister
1440,FABIAN,PETER,BLACHE,,Legislative and Executive,Louisiana Association of Chiefs of Police
443,DARYL,ELIZABETH,BLACHER,,Not currently registered,AARP Louisiana
1238,WILLARD,TROY,BLACKALL,III,Not currently registered,"Art Lentini & Associates, LLC"
398,CARMACK,M,BLACKMON,,Legislative and Executive,Louisiana Railroads Association
291,WILLIAM,E,BLACKWELL,,Legislative and Executive,Louisiana Dental Association
672,BRIAN,RANDALL,BLAKE,,Legislative,Baton Rouge City Police
392,MELISSA,GREGG,BLAKE,,Legislative,Cox Communications
1795,NICOLE,LEIGH,BLAZIER,,Legislative,LOUISIANA MUNICIPAL ASSOCIATION
1185,JACK,ARTHUR,BLOSSMAN,JR,Legislative and Executive and Local,AT&T
650,JANET,S,BOLES,,Not currently registered,"The Boles Law Firm-Baton Rouge, LLC"
747,ROBERT,DOUGLAS,BOND,,Not currently registered,"Legislative Logistics, LLC"
395,TERRY,BRIAN,BOND,,Legislative and Executive,AEP Southwestern Electric Power Company
230,DAVID,J,BONENO,,Legislative and Executive,Louisiana Bankers Association
458,BOOLUS,J,BOOHAKER,,Legislative and Executive,Boolus J. Boohaker
463,JOSEPH,T,BOOTH,,Not currently registered,Thompson Booth
912,SHANE,DAVID,BORDEAU,,Not currently registered,CA Technologies
816,DORINDA,C,BORDLEE,,Legislative and Executive,Bioethics Defense Fund
1341,JOSHUA,G,BORILL,,Legislative and Executive and Local,"The Picard Group, LLC"
513,DAN,S,BORNE',,Legislative and Executive,Louisiana Chemical Association
1060,DENISE,ORR,BOTTCHER,,Legislative and Executive,AARP Louisiana
1366,KELLI,DRAGO,BOTTGER,,Legislative and Executive,American Federation for Children
373,BERNARD,E,BOUDREAUX,,Not currently registered,"Breazeale, Sachse & Wilson, L.L.P."
1784,DOUGLAS,,BOUDREAUX,,Executive,CenterPoint Energy
1592,DARYN,MICHAEL,BOVARD,,Legislative and Executive and Local,Entergy Louisiana LLC
27,MARIA,WOODYEAR,BOWEN,,Legislative and Executive,Maria W. Bowen
1545,ALAN,,BOWSER,,Executive,"Bridgewater Associates, LP"
511,GREGORY,M,BOWSER,,Legislative and Executive,Louisiana Chemical Association
1993,BRENT,,BOYD,,Legislative and Local,"Boyd Holding, LLC"
98,HENRY,ENGLISH,BRADEN,IV,Not currently registered,"Henry E. Braden, IV APLC"
490,JAMES,EDWARD,BRADFORD,,Legislative,"Independent Consultants, Inc."
161,BRUCE,,BRADLEY,,Legislative,Louisiana Association of Business and Industry
495,REBECCA,DEANNE,BRADLEY,,Legislative and Executive,Louisiana Hospital Association
784,BASIL,O,BRADY,,Executive,Methanex USA
1054,PEGGY,,BRAND,,Not currently registered,"Genentech Inc., a Member of the Roche Group"
1037,GERARD,,BRANKA,,Executive,Pyramis Global Advisors Holding Corp.
308,RODNEY,,BRAXTON,,Legislative and Executive and Local,"Southern Strategy Group of Louisiana, LLC"
1331,SCOTT,M,BREAKSTONE,,Not currently registered,Fougera Pharmaceuticals Inc
312,ADRIENNE,NICOLE,BREAUX,,Not currently registered,Acadian Home Builders Association
798,RICHARD,H,BREMER,,Not currently registered,Greater Shreveport Chamber of Commerce
765,JAMES,BRANDON,BREWER,,Not currently registered,James Brandon Brewer
376,KEVIN,RAY,BRIDWELL,,Legislative and Executive,Louisiana Hospital Association
59,DONALD,GIFFORD,BRIGGS,,Legislative and Executive,Louisiana Oil & Gas Association
47,GIFFORD,ASHLEY,BRIGGS,,Legislative and Executive,Louisiana Oil and Gas Association
64,RONALD,PAUL,BRIGGS,,Legislative and Executive,Retired
962,JOHN,EMMETT,BRIGNAC,JR,Legislative and Executive,Imperial Fire and Casualty Insurance Company
1918,KACEY,MICHELLE,BRISTER,,Not currently registered,AARP Louisiana
484,JANET,SONNIER,BRITTON,,Not currently registered,"EATELCORP, Inc."
533,ROBERT,,BROADUS,,Legislative,"Allergan, Inc."
670,BRETT,,BROCK,,Executive and Local,"Cisco Systems, Inc."
1073,CORI,M,BROCK,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
319,SCOTT,ALAN,BROCK,,Not currently registered,Bristol-Myers Squibb Company
2184,JESSE,D,BRODERICK,,Legislative and Executive,"Sumit Credits, LLC"
325,LINDY,,BRODERICK,,Not currently registered,Greater Shreveport Chamber of Commerce
518,TERRY,TY TYSON,BROMELL,II,Legislative and Executive,Police Jury Association of Louisiana
1855,MELANIE,MYERS,BRONFIN,,Legislative and Executive,Louisiana Partnership for Children and Families
623,LORRIE,,BROUSE,,Not currently registered,Allstate Insurance Company
262,CARRIE,GRIFFIN,BROUSSARD,,Not currently registered,Louisiana Public Health Institute
721,LINDY,,BROUSSARD,,Executive,CenterPoint Energy
1078,TROY,J,BROUSSARD,,Legislative and Executive and Local,AT&T Services Inc.
468,VICKI,B,BROUSSARD,,Not currently registered,Home Builders Association of Southwest La.
1398,THAIHEVIA,,BROWDER,,Legislative,Louisiana Association of Educators
805,CHUCK,CARR,BROWN,,Not currently registered,Brown & Associates
979,DENNIS,,BROWN,,Not currently registered,Equipment Leasing & Finance Association
1143,JAMES,A,BROWN,,Not currently registered,Capital One Financial Corporation
96,SCOTT,D,BROWN,,Legislative and Executive,"MedImmune, LLC"
843,STEPHANIE,H,BROWN,,Not currently registered,WARNER CHILCOTT
967,STEVEN,PHILLIP,BROWNING,,Legislative and Executive,Hayes Dent Public Strategies
1059,KEVIN,FOREST,BRUCE,,Legislative and Executive,Encana Oil & Gas (USA) Inc.
1227,SCOTT,WILLIAM,BRUCE,,Executive,"Fidelity Brokerage Services, LLC"
1167,ADRIAN,LEE,BRUNEAU,,Not currently registered,Gulf South Strategies LLC
1088,JAMES,EMILE,BRUNEAU,,Legislative,Advantous Consulting L.L.C.
1880,SHANNON,,BRUNET,,Legislative,"Harris, DeVille & Associates, Inc."
88,JODEE,NISWANGER,BRUYNINCKX,,Not currently registered,Louisiana Oil & Gas Association
791,BOYD,,BRYAN,,Not currently registered,Jones Walker
487,ELIZABETH,MICHELLE,BRYANT,,Not currently registered,AARP
1443,LOUIS,,BUATT,,Legislative and Executive and Local,Jones Walker
796,CHARLES,LEE,BUCKELS,,Not currently registered,Redflex Traffic Systems
125,NEIL,H,BUCKINGHAM,,Legislative and Executive and Local,shell oil company
290,R,JANE,BURGIN,,Legislative,Burgin and Associates
438,LUCIEN,E,BURKETT,,Legislative and Executive,Burkett & Associates
75,JAMES,SAMUEL,BURLAND,,Legislative and Executive and Local,"Burland & Associates, Inc."
709,BOBBY,,BURNS,,Executive,CenterPoint Energy
133,BERRY,,BURNSIDE,,Legislative and Executive,"Burnside Consulting, L.L.C."
1082,ASHLEY,,BUSADA,,Legislative,Bossier Chamber of Commerce
698,MIKE,,BUSADA,,Not currently registered,"Adams and Reese, LLP"
1011,MATTHEW,,BUTTERFIELD,,Not currently registered,Nomura Asset Management U.S.A. Inc.
964,TIM,,BYLER,,Not currently registered,Novartis Pharmaceuticals Corporation
818,DONNA,ELAINE,BYRNE,,Legislative and Executive and Local,ATT
1096,KEVIN,JOSEPH,BYRNE,,Executive,"Fidelity Capital Markets, a division of National Financial Services LLC"
758,CHRISTIAN,,CABALLERO,,Not currently registered,"Farmers Group, Inc."
22,DENNIS,PAUL,CABALLERO,,Not currently registered,State National Agency
685,CHARMAINE,,CACCIOPPI,,Legislative and Executive and Local,United Way of Southeast Louisiana (UWSELA)
97,DAVID,A,CAGNOLATTI,,Legislative and Executive,PHILLIPS 66 COMPANY
1243,NICHOLAS,P,CAHANIN,,Legislative and Executive and Local,"The Picard Group, LLC"
274,MICHELE,S,CALANDRO,,Legislative and Executive,Louisiana Health Service & Indemnity Company
461,AMANDA,REBECCA,CALLAIS,,Not currently registered,The Louisiana Coalition for Maternal and Infant Health
256,KATHY,C,CAMPBELL,,Not currently registered,Associated Professional Educators of Louisiana
1007,KENNETH,L,CAMPBELL,,Not currently registered,The Black Alliance For Educational Options
1557,MONICA,,CANDAL,,Not currently registered,"Stand For Children, Inc"
2163,LINDA,,CANTU,,Executive,Bristol-Myers Squibb Company
614,MILES,F,CARAWAY,,Not currently registered,Individual Lobbyist
1019,ALBERTO,R,CARDENAS,,Not currently registered,The Advocacy Group at Cardenas Partners
1953,DARRYL,JOHN,CARIMI,,Not currently registered,"Green Grants, LLC"
322,GAYLE,BRAGDON,CARNAHAN,,Not currently registered,"Nu Vieux, L.L.C."
663,JAMES,M,CARROLL,,Not currently registered,Accenture LLP
1404,MICHAEL,EDWARD,CARTER,,Not currently registered,Shreveport Police Officer's Association
85,TROY,ANTHONY,CARTER,,Not currently registered,"Policy & Planning Partners, LLC"
357,DONNA,B,CARVILLE,,Not currently registered,"Harris, Deville and Associates"
975,DAN,,CASEY,,Not currently registered,"Casey and Casey NPS, Inc."
595,DAVID,R,CASSIDY,,Executive,"Breazeale, Sachse & Wilson, LLP"
2149,ANNE,,CASSITY,,Legislative and Executive,Louisiana Healthcare Connections
1102,CHARLES,,CASTILLE,,Legislative and Executive,Adams and Reese LLP
481,YOLANDA,,CASTILLO,,Executive,"Sasol North America, Inc."
508,GERRY,,CATALANO,,Executive,"International Business Machines Corporation (""IBM"")"
776,JIM,A,CAVANAUGH,,Executive,Baton Rouge Area Chamber
1230,MARIE,DESORMEAUX,CENTANNI,,Legislative and Executive,"Centanni Communications, LLC"
138,TIMOTHY,,CERIO,,Not currently registered,"GrayRobinson, P.A."
1896,KULJEET,,CHAHAL,,Executive and Local,Fisher Investments Institutional Group
1075,ABRAHAM,J,CHAMOY,,Not currently registered,"International Business Machines Corporation (""IBM"")"
42,KEVIN,PERNELL,CHAVOUS,,Legislative,The Chavous Group LLC
807,SUE,WILSON,CHENEVERT,,Legislative and Executive,Habitat for Humanity of Louisiana State Support Organization
196,JULIE,,CHERRY,,Legislative,Louisiana AFL-CIO
326,FRED,LEE,CHEVALIER,,Not currently registered,"Jones, Walker, Waechter, Poitevent, Carrerem & Denegre, LLP"
408,KATIE,S,CHIASSON,,Legislative and Executive and Local,"Cleco Power, LLC"
1579,RONALD,DAVID,CHILDRESS,,Executive,Entergy Services Inc.
207,KATHY,ANN,CHITTOM,,Legislative and Executive,Chiropractic Association of Louisiana
1910,ASHLEY,M,CHRETIEN,,Legislative,Louisiana Coalition Against Domestic Violence
2004,PEARCE,JEREMY,CINMAN,,Not currently registered,none
52,STEPHEN,A,CLAIBORN,,Not currently registered,Merrill Lynch & Co
998,ROBERT,BENJAMIN,CLAPPER,,Not currently registered,Louisiana Right to Life Federation
2043,JACQUELINE,,CLARK,,Legislative and Executive,Ash Grove Cement Company
550,VERNE,THOMAS,CLARK,JR,Legislative and Executive,"Adams and Reese, LLP"
1328,KATHERINE,,CLARKE,,Not currently registered,Louisiana Association of Educators
1626,TIMOTHY,,CLEMONS,,Executive,Novartis Vaccines and Diagnostics
162,JONICA,,COATES,,Legislative and Executive,Louisiana Association of Business and Industry
744,MICHAEL,,COBLIN,,Not currently registered,Moore & Van Allen PLLC
1044,TIMOTHY,JETHRO,COFFIN,,Not currently registered,"Fidelity Capital Markets, a division of National Financial Services LLC"
399,DERRELL,,COHOON,,Legislative and Executive and Local,Capitol Partners
1053,RAY,,COLAS,,Not currently registered,LKQ Corporation/Keystone Automotive Industries
61,MARY,ANN,COLEMAN,,Legislative and Executive,Louisiana Association of Independent Colleges and Universities
2003,DAWN,D,COLLINS,,Legislative,Cogent Concepts and Project Management
800,JAIMME,ANGELLE,COLLINS,,Not currently registered,"Adams and Reese, LLP"
1759,LAWRENCE,BLAKE,COLLINS,,Executive,Baton Rouge Area Chamber
1072,ROGER,DEAN,COLLINS,,Legislative and Executive,Sunovion Pharmaceuticals Inc.
136,CHANTA,G,COMBS,,Not currently registered,UnitedHealth Group
1859,FRANCISCA,M,COMEAUX,,Legislative and Executive and Local,"Phelps Dunbar, LLP"
524,LISA,H,COMEAUX,,Not currently registered,Louisiana Assisted Living Association
1127,CAMILLE,PAMPELL,CONAWAY,,Legislative and Executive,Self-Employed
1040,DANIEL,,CONNELLY,,Not currently registered,"Fidelity Capital Markets, a divison of National Financial Services LLC"
228,JAMES,THOMAS,CONNICK,,Legislative,River Birch Inc.
562,REBECCA,C,CONWELL,,Not currently registered,Tulane University
174,RYAN,W,COONEY,,Not currently registered,Baton Rouge Area Chamber
40,BLAKE,KILPATRICK,COOPER,,Legislative and Executive,Martin Companies L.L.C.
1627,TRACEY,,COOPER,,Executive,Novartis Vaccines and Diagnostics
1851,CORINNE,,COPELAND,,Executive,Eisai Inc
569,JEFF,,COPESKEY,,Legislative and Executive,Exxon Mobil Corporation
1004,BETH,,CORBETT,,Not currently registered,Tulane University
940,ANN,,CORBIN,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
141,EMILE,BRADEN,CORDARO,,Legislative and Executive and Local,AEP SWEPCO
219,GINGER,ADAM,CORLEY,,Legislative and Executive,"Ginger E. Adam, L.L.C."
333,ANITA,,CORMIER,,Not currently registered,Warner Chilcott
574,MAXINE,RICHARDSON,CORMIER,,Legislative,self -employed
63,CHAD,B,CORNETT,,Not currently registered,Baton Rouge Area Chamber
715,RICHARD,,CORTIZAS,,Not currently registered,Jones Walker
205,CLARK,R,COSSE,III,Legislative and Executive,Louisiana Hospital Association
1876,JOHN,,COTTRAUX,,Executive,"Boehringer Ingelheim Pharmaceuticals, Inc."
202,CHRISTOPHER,P,COULON,,Legislative and Executive,"Adams and Reese, LLP"
973,CLAY,,COUNTRYMAN,,Not currently registered,"Kean, Miller, Hawthorne, D'Armond, McCowan & Jarman, L.L.P."
496,WILLIAM,G (BUD),COURSON,,Legislative and Executive and Local,"Courson Nickel, LLC"
1394,KEITH,MICHAEL,COURVILLE,,Not currently registered,Associated Professional Educators of Louisiana
364,R,DUANE,COWART,,Legislative and Executive,"The Cowart Group, Inc."
335,CHRISTOPHER,W,COX,,Legislative and Executive,National Rifle Association of America
246,WILLIE,,CRAIN,,Not currently registered,LA. CONSULTING AND PLANNING SERVICE INC.
933,ALLIE,,CRANDELL,,Not currently registered,Boehringer Ingelheim
745,RENEE,CHABERT,CRASTO,,Not currently registered,"Adams and Reese, LLP"
2037,DONALD,RAY,CRAVINS,SR,Legislative,"LA LOUISIANNE, LLC"
379,BROCK,,CREEKMORE,,Not currently registered,Warner Chilcott
1224,TAMMY,A,CRIVELLI,,Not currently registered,"CA, Inc."
415,ANNE,J,CROCHET,,Legislative,"Taylor, Porter, Brooks and Phillips, L.L.P."
293,MICHAEL,A,CROSS,,Not currently registered,Cross & Co LLC
736,DONALD,LINDEN,CRYE,,Not currently registered,Warner Chilcott
723,GERALD,,CRYER,,Not currently registered,CenterPoint Energy
440,KEVIN,E,CUNNINGHAM,,Legislative and Executive,"Southern Strategy Group of Louisiana, LLC"
223,MARYCE,JAEGER,CUNNINGHAM,,Not currently registered,Suddenlink Communications
1131,KIM,PHILLIPS,CUSIMANO,,Legislative,"Harris, DeVille & Associates, Inc."
1912,JOHN,L,DANIEL,JR,Legislative and Executive and Local,"JPMorgan Chase Bank, NA"
221,REX,,DANSBY,,Not currently registered,LA Public Emps. Council No. 17
520,ROLAND,JOHN,DARTEZ,,Legislative and Executive,Police Jury Association of Louisiana
377,SHELL,,DAVIES,,Not currently registered,"International Business Machines Corporation (""IBM"")"
1862,ANGELE,,DAVIS,,Legislative,"The Davis Kelley Group, LLC"
1309,BARBARA,,DAVIS,,Not currently registered,Louisiana Association of Tax Adminstrators
2171,JOHN,,DAVIS,,Legislative and Executive and Local,"Baker, Donelson, Bearman, Caldwell & Berkowitz"
372,PAULA,PELLERIN,DAVIS,,Not currently registered,Paula Davis
49,MARK,Z,DAWES,,Not currently registered,Strategic Advisors (self-employed)
145,TIMOTHY,J,DAWSON,,Not currently registered,Baton Rouge Area Chamber
260,ANITA,,DAY,,Not currently registered,DayDoc
739,JEFFREY,GEORGE,DAY,,Not currently registered,Warner Chilcott
155,JUDY,EWELL,DAY,,Legislative and Executive,self employed--Judy Ewell Day
1032,PAUL,M,DE MOOR,,Not currently registered,Pyramis Global Advisors Holding Corp.
36,WARREN,TRENT,DEKINDER,,Not currently registered,ING Investment Management
566,JIM,,DELATTE,,Legislative and Executive,Takeda Pharmaceuticals America
1244,REGINA,,DELAUNE,,Not currently registered,GE Healthcare
1084,ROBERT,PATRICK,DEMARCO,,Not currently registered,CA Technologies
417,RICK,,DEMINT,,Legislative and Executive and Local,AT&T Louisiana
2168,OTASHA,,DENNIS,,Not currently registered,AARP Louisiana
2050,JERRI,MICHELLE,DENTON,,Executive,NPS Pharmaceuticals
929,CHAD,,DESHOTEL,,Not currently registered,Louisiana Home Builders Association
485,AMY,LORAE,DESOTO,,Not currently registered,Home Builders Association of Central Louisiana
1275,STEPHANIE,,DESSELLE,,Legislative,Council for A Better Louisiana
200,GARY,,DEVALL,,Not currently registered,United Transportation Union
1383,MATTHEW,RENWICK,DEVILLE,,Not currently registered,"Harris, DeVille & Associates, Inc."
2013,RENWICK,PAUL,DEVILLE,,Legislative and Executive and Local,"Harris, DeVille & Associates, Inc."
1208,SHELLY,,DEZEVALLOS,,Not currently registered,Self Employed
1956,MARLENE,,DIAL,,Legislative and Executive and Local,National Development Advisors & Strategies
402,CHRISTOPHER,,DICHARRY,,Legislative and Executive,Kean Miller LLP
1290,RAGAN,THOMAS,DICKENS,,Legislative and Executive and Local,Louisiana Oil and Gas Association
749,JACK,,DILLARD,,Not currently registered,Jack Dillard
2145,MICHAEL,PETER,DIRESTO,,Legislative and Local,Baton Rouge Area Chamber
2224,ASENITH,,DIXON,,Not currently registered,The College Board
311,JEANNIE,A,DODD,,Not currently registered,Louisiana Home Builders Association
1063,STEPHANIE,,DOIRON,,Not currently registered,AT&T
2174,JORGE,,DOMINICIS,,Executive,"The GEO Group, Inc."
1992,ROBERT,ERIC,DONALDSON,,Legislative and Executive,Altria Client Services Inc.
76,JOSEPH,ALAN,DONCHESS,,Legislative and Executive,Louisiana Nursing Home Association
889,MICHAEL,G,DONZE,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
507,SARAH,,DOUCET,,Not currently registered,Sasol North America
341,RONALD,,DOUGHTY,,Legislative and Executive,"Prudential Financial, Inc"
389,MURPHY,ANDREW,DREHER,III,Legislative and Executive,"Mapes & Mapes, Inc"
247,MARK,,DRENNEN,,Legislative and Executive and Local,Cornerstone Government Affairs
329,LLOYD,,DRESSEL,,Not currently registered,Louisiana School Boards Association
629,JAMES,M,DRIESSE,,Not currently registered,"International Business Machines Corporation (""IBM"")"
630,JUSTIN,M,DRIESSE,,Not currently registered,"International Business Machines Corporation (""IBM"")"
288,ANNETTE,BERGERON,DRODDY,,Legislative and Executive,Louisiana Dental Association
1796,KENNETH,BERNARD,DRONE,,Legislative,LOUISIANA MUNICIPAL ASSOCIATION
914,JEFFERY,A,DROZDA,,Legislative and Executive,Louisiana Association of Health Plans
733,CHRISTOPHER,,DRUMM,,Legislative,AmeriHealth Mercy
919,JAMES,,DUBOS,,Not currently registered,Ascendant Technology Partners
2101,JUDE,GERARD,DUGAS,,Local,Quintiles
201,ALISHA,MARIE,DUHON,,Legislative and Executive,"Adams and Reese, LLP"
323,STEVEN,R,DUKE,,Legislative and Executive,"Duke Law Firm, APLC"
522,RONNIE,EUGENE,DUNCAN,,Legislative and Executive,Franciscan Missionaries of Our Lady Health System
1006,MATTHEW,ALEXANDER,DUNN,,Not currently registered,"Deborah Randolph & Assoc.,LLC"
1434,DAVID,S,DUPLECHAIN,,Legislative,United Transportation union
339,GILBERT,JOHN,DUPRE,JR,Not currently registered,Diversified Health Strategies
2017,MASON,ELLIOT,DUPRE,,Legislative,"PosiGen, LLC"
416,BENJAMIN,ARNOLD,DUPUY,,Not currently registered,Cypress Advocacy
456,BERKLEY,RHORER,DURBIN,,Legislative and Executive,"MedicineLouisiana,Inc"
731,JIMMIE,MAURICE,DURBIN,,Not currently registered,maurice durbin and assoc.
469,WADE,,DUTY,,Legislative,"Louisiana Casino Association, Inc."
934,KIRK,,DZENKO,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
976,BONNIE,W,EADES,,Not currently registered,"AT&T Services, Inc. (retired)"
557,RICHARD,B,EASTERLING,,Not currently registered,Adams and Reese LLP
273,KAREN,LAINE,EDDLEMON,,Legislative and Executive,The Dow Chemical Company
1575,AMANDA,HATTEN,EDGE,,Executive,Entergy
87,SUSAN,GALE,EDMUNDS NICHOLSON,,Legislative and Executive,Monroe Chamber of Commerce
1034,KIMBERLY,KAYE,EDWARDS,,Not currently registered,"Fidelity Capital Markets, a division of National Financial Services LLC"
